,Nome  do Campo,Tipo,Tamanho,Descrição
1,REGISTRO_OPERADORA,Texto,6,Registro de operadora de plano privado de assistência àsaúde concedido pela ANS à pessoa jurídica para operação no setor de saúde suplementar
2,CNPJ,Texto,14,CNPJ da Operadora
3,Razao_Social,Texto,140,Razão Social da Operadora
4,Nome_Fantasia,Texto,140,Nome Fantasia da Operadora
5,Modalidade,Texto,2,Classificação das operadoras deplanos privados de assistência à saúde de acordo com seu estatuto jurídico.
6,Logradouro,Texto,40,Endereço da Sede da Operadora
7,Número,Texto,20,Número do Endereço da Sede da Operadora
8,Complemento,Texto,40,Complemento do Endereço da Sede da Operadora
9,Bairro,Texto,30,Bairro do Endereço da Sede da Operadora
10,Cidade,Texto,30,Cidade do Endereço da Sede da Operadora
11,UF,Texto,2,Estado do Endereço da Sede da Operadora
12,CEP,Texto,8,CEP do Endereço da Sede da Operadora
13,DDD,Texto,4,Código de DDD da Operadora
14,Telefone,Texto,20,Numero de Telefone da Operadora
15,Fax,Texto,20,Numero de Fax da Operadora
16,Endereco_eletronico,Texto,255,e-mail da Operadora
17,Representante,Texto,50,Representante Legal da Operadora
18,Cargo_Representante,Texto,40,Cargo do Representante Legal da Operadora
19,Regiao_de_Comercializacao,Numero,1,"Área onde a operadora de plano privado de assistência à saúde comercializa ou disponibiliza seu plano de saúde, nos termos do Anexo I da Resolução Normativa nº 209/2009, da ANS.• Região 1: em todo o território nacional ou em grupos de pelo menos três estados dentre os seguintes: São Paulo, Rio de Janeiro, Minas Gerais, Rio Grande do Sul, Paraná e Bahia;• Região 2: no Estado de São Paulo ou em mais de um estado, excetuando os grupos definidos no critério da região 1;• Região 3: em um único estado, qualquer que seja ele, excetuando-se o Estado de São Paulo;• Região 4: no Município de São Paulo, do Rio de Janeiro, de Belo Horizonte, de Porto Alegre ou de Curitiba ou de Brasília;• Região 5: em grupo de municípios, excetuando os definidos na região 4; e• Região 6: em um único município, excetuando os definidos na região 4."
20,Data_Registro_ANS,Data,8,Data do Registro da Operadora na ANS (formato AAAA-MM-DD)
